State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate
Iowa,Lee County,9763,6539,3,0.017
Iowa,Linn County,53098,70451,2,0.001
Iowa,Louisa County,3500,1726,0,0.000
Iowa,Lucas County,2981,1220,0,0.000
Iowa,Lyon County,5703,1065,0,0.000
Iowa,Madison County,6486,3126,0,0.000
Iowa,Mahaska County,8256,2879,0,0.000
Iowa,Marion County,12657,6170,0,0.000
Iowa,Marshall County,9564,8171,1,0.005
Iowa,Mills County,5572,2500,0,0.000
Iowa,Mitchell County,3665,2048,0,0.000
Iowa,Monona County,3234,1402,0,0.000
Iowa,Monroe County,2975,1078,0,0.000
Iowa,Montgomery County,3653,1583,0,0.000
Iowa,Muscatine County,10823,9372,0,0.000
Iowa,O'Brien County,5857,1567,0,0.000
Iowa,Osceola County,2688,600,0,0.000
Iowa,Page County,5314,2081,0,0.000
Iowa,Palo Alto County,3369,1518,0,0.000
Iowa,Plymouth County,10472,3483,0,0.000
Iowa,Pocahontas County,2825,932,0,0.000
Iowa,Polk County,106752,146173,13,0.005
Iowa,Pottawattamie County,26241,18570,1,0.002
Iowa,Poweshiek County,5645,4301,0,0.000
Iowa,Ringgold County,1964,708,0,0.000
Iowa,Sac County,4052,1383,0,0.000
Iowa,Scott County,43661,46890,5,0.005
Iowa,Shelby County,4697,1959,0,0.000
Iowa,Sioux County,15669,3017,0,0.000
Iowa,Story County,20200,28975,2,0.004
Iowa,Tama County,5299,3573,0,0.000
Iowa,Taylor County,2459,745,0,0.000
Iowa,Union County,4000,2049,1,0.015
Iowa,Van Buren County,2867,874,0,0.000
Iowa,Wapello County,9504,5818,1,0.006
Iowa,Warren County,17738,12537,0,0.000
Iowa,Washington County,6966,4558,1,0.008
Iowa,Wayne County,2338,727,0,0.000
Iowa,Webster County,10927,6604,3,0.016
Iowa,Winnebago County,3692,2123,0,0.000
Iowa,Winneshiek County,6234,5616,0,0.000
Iowa,Woodbury County,25700,18683,2,0.004
Iowa,Worth County,2732,1593,0,0.000
Iowa,Wright County,4135,1995,0,0.000
Kansas,Allen County,5486,1836,0,0.000
Kansas,Anderson County,2874,765,0,0.000
Kansas,Atchison County,4826,2314,0,0.000
Kansas,Barber County,1992,284,2,0.080
Kansas,Barton County,8480,2302,1,0.008
Kansas,Bourbon County,4906,1504,0,0.000
Kansas,Brown County,3206,1088,0,0.000
Kansas,Butler County,22250,9003,2,0.006
Kansas,Chase County,1114,341,0,0.000
Kansas,Chautauqua County,1397,212,0,0.000
Kansas,Cherokee County,6622,2163,0,0.000
Kansas,Cheyenne County,1158,220,0,0.000
Kansas,Clark County,885,143,0,0.000
Kansas,Clay County,3120,879,0,0.000
Kansas,Cloud County,3182,893,0,0.000
Kansas,Coffey County,3403,926,0,0.000
Kansas,Comanche County,743,124,0,0.000
Kansas,Cowley County,9442,4171,1,0.007
Kansas,Crawford County,9752,5971,0,0.000
Kansas,Decatur County,1232,208,1,0.063
Kansas,Dickinson County,7045,2040,0,0.000
Kansas,Doniphan County,2949,678,0,0.000
Kansas,Douglas County,16737,39436,1,0.002
Kansas,Edwards County,1127,267,0,0.000
